2020-04-19 16:04:334 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-19 16:04:44 INFO  HomePage :30 - clicking on login link[[ChromeDriver: chrome on WINDOWS (79934995c19e2e51116ff3f73a4a2d30)] -> link text: Log in]
2020-04-19 16:04:196 INFO  LoginPage :52 - verify Welcome TextWelcome, Please Sign In!displayed msg [[ChromeDriver: chrome on WINDOWS (79934995c19e2e51116ff3f73a4a2d30)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2020-04-19 17:04:27 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-19 17:04:825 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-19 17:04:965 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-19 17:04:944 INFO  HomePage :30 - clicking on login link[[ChromeDriver: chrome on WINDOWS (7289069283390dcb758ba5cb431356fc)] -> link text: Log in]
2020-04-19 17:04:112 INFO  LoginPage :52 - verify Welcome TextWelcome, Please Sign In!displayed msg [[ChromeDriver: chrome on WINDOWS (7289069283390dcb758ba5cb431356fc)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2020-04-20 12:04:359 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-20 12:04:744 INFO  HomePage :35 - cliking on registration link[[ChromeDriver: chrome on WINDOWS (2be07c8173c54145ed2bcdf52dfea6ff)] -> xpath: //div[@class='header-links-wrapper']//a[contains(text(),'Register')]]
2020-04-20 12:04:901 INFO  RegistrationPage :80 - verify massageYour Personal Detailsdisplayd Msg[[ChromeDriver: chrome on WINDOWS (2be07c8173c54145ed2bcdf52dfea6ff)] -> xpath: //div[@class='page-body']//strong[text()='Your Personal Details']]
2020-04-20 12:04:578 INFO  BrowserSelector :25 - Launching Chrome Browser
2020-04-20 12:04:20 INFO  HomePage :35 - cliking on registration link[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //div[@class='header-links-wrapper']//a[contains(text(),'Register')]]
2020-04-20 12:04:359 INFO  RegistrationPage :86 - select male gender btn :[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='gender-male']]
2020-04-20 12:04:882 INFO  RegistrationPage :100 - enter firstnameLuckyto the field [[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='FirstName']]
2020-04-20 12:04:155 INFO  RegistrationPage :107 - enter lastnamemakto the field[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='LastName']]
2020-04-20 12:04:828 INFO  RegistrationPage :113 - select day[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //select[@name='DateOfBirthDay']]
2020-04-20 12:04:102 INFO  RegistrationPage :119 - select month[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //select[@name='DateOfBirthMonth']]
2020-04-20 12:04:841 INFO  RegistrationPage :125 - selecct year[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //select[@name='DateOfBirthYear']]
2020-04-20 12:04:234 INFO  RegistrationPage :131 - enter emailxyzOWA9p@gmail.comto email filed[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='Email']]
2020-04-20 12:04:472 INFO  RegistrationPage :137 - enter comapny nameL M Testto company field[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='Company']]
2020-04-20 12:04:559 INFO  RegistrationPage :143 - select news letter box[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> css selector: input#Newsletter]
2020-04-20 12:04:782 INFO  RegistrationPage :149 - enter passwordabc123to field[[ChromeDriver: chrome on WINDOWS (548a09fd6f88bdefdbc4d9bf4dbed20d)] -> xpath: //input[@id='Password']]
